num,wer,werotho,accuracy,f1_score,bleu_score,Rouge 1 r,Rouge 1 p,Rouge 1 f,predict,target,intent
17,0.16666666666666666,16.67%,83.33333333333334,0.9090909090909091,0.04431913247454159,0.8333333333333334,0.8333333333333334,0.8333333283333335,i need to freeze my card,I need to freeze my card,9
18,0.13157894736842105,13.16%,86.8421052631579,0.9295774647887324,0.011216177882511473,0.9259259259259259,0.9259259259259259,0.9259259209259261,oh yes good afternoon i need some help i'm trash deposit some money into my account and how can i do that where can i make a deposit or how can i change the money to my account,oh yes good afternoon I need some help I'm trash deposit some money into my account and how can I do that where can I make a deposit or how can I change the money to my account,7
19,0.1875,18.75%,81.25,0.896551724137931,0.012548544602720112,0.8695652173913043,0.9090909090909091,0.8888888838913581,hi i'm just calling because i would like to immediately leave my car my card i would like it to just be cancelled really because i broke my car in the womb,hi I'm just calling because I would like to immediately leave my car. My card I would like it to just be cancelled really because I broke my car in the womb,9
20,0.08333333333333333,8.33%,91.66666666666666,0.9565217391304348,0.026987765337203054,0.9090909090909091,0.9090909090909091,0.9090909040909091,hello i would like to speak to someone about a business loan,hello I would like to speak to someone about a business loan,5
21,0.07692307692307693,7.69%,92.3076923076923,0.96,0.02545962245882211,0.9166666666666666,0.9166666666666666,0.9166666616666667,slow on my card doesn't work i'm able to withdraw anything my account,slow on my card doesn't work I'm able to withdraw anything my account,6
22,0.0,0.00%,100.0,1.0,0.034223003202678036,1.0,1.0,0.999999995,my card isn't working why was my payment declined,my card isn't working why was my payment declined,6
23,0.0,0.00%,100.0,1.0,0.06287167148414677,1.0,1.0,0.999999995,read card all transaction,read card all transaction,9
24,0.0,0.00%,100.0,1.0,0.0531829589694499,1.0,1.0,0.999999995,what is my account balance,what is my account balance,4
25,0.125,12.50%,87.5,0.9333333333333333,0.02149869142656496,0.9333333333333333,0.9333333333333333,0.9333333283333335,why do i keep getting these text messages i just want to pay off my balance,why do I keep getting these text messages I just want to pay off my balance,10
26,0.1,10.00%,90.0,0.9473684210526315,0.03080070288241024,0.9,0.9,0.899999995,hi i was calling to see my recent transaction history,hi I was calling to see my recent transaction history,12
27,0.0,0.00%,100.0,1.0,0.046385961395229026,1.0,1.0,0.999999995,can you see my account balance,can you see my account balance,4
28,0.0,0.00%,100.0,1.0,0.07801157731069054,1.0,1.0,0.999999995,card not working,card not working,6
29,0.125,12.50%,87.5,0.9333333333333333,0.036156345106488484,0.875,0.875,0.874999995,how do i see my most recent transactions,how do I see my most recent transactions,12
30,0.07142857142857142,7.14%,92.85714285714286,0.9629629629629629,0.024118916967037007,0.9285714285714286,0.9285714285714286,0.9285714235714286,hi i'd like to pay the bills could you please help me with this,hi I'd like to pay the bills could you please help me with this,13
31,0.0,0.00%,100.0,1.0,0.07801157731069054,1.0,1.0,0.999999995,freeze my card,freeze my card,9
32,0.17142857142857143,17.14%,82.85714285714286,0.90625,0.011790479163525188,0.8518518518518519,0.8518518518518519,0.8518518468518519,hi i'm going to be going abroad and i'd like to know if i can use my card in england while i'm there and work if i have to do anything special to activate it,hi I'm going to be going abroad and I'd like to know if I can use my card in England while I'm there and work if I have to do anything special to activate it,0
33,0.8928571428571429,89.29%,10.714285714285714,0.1935483870967742,0.008358383283288272,0.7619047619047619,0.7272727272727273,0.7441860415143321,hi i want to know if you could show me my account balance until i'm to see it and i need to be able to reconcile my account,hi I want you to tell me my account balance until I'm just see it and I need to be able to reconcile a my account,4
34,0.2608695652173913,26.09%,73.91304347826086,0.85,0.015699448421075117,0.7727272727272727,0.7727272727272727,0.7727272677272727,i'm leaving for amsterdam this weekend and i want to know if i can use my wells fargo credit card charges are there,I'm leaving for Amsterdam this weekend and I want to know if I can use my Wells Fargo credit card charges are there,0
35,0.532258064516129,53.23%,46.774193548387096,0.6373626373626373,0.0066559156568287365,0.896551724137931,0.5909090909090909,0.7123287623343968,hi i was looking at my recent transactions and i saw a bunch on the app that i didn't recognize i didn't make i would like the account to be frozen please and if i could get the transactions refunded obviously i didn't authorise on and yeah if we could freeze the account material is happening as well thank you very much,hi I was looking at my recent transactions and I saw a bunch on the apps that I didn't recognize I didn't make I would like the account to be Frozen please and if I could get,12
36,0.0,0.00%,100.0,1.0,0.034223003202678036,1.0,1.0,0.999999995,would you like to deposit money into my account,would you like to deposit money into my account,7
37,0.0,0.00%,100.0,1.0,0.06287167148414677,1.0,1.0,0.999999995,my card isn't working,my card isn't working,6
38,0.13513513513513514,13.51%,86.48648648648648,0.927536231884058,0.011431040685843939,0.9032258064516129,0.9032258064516129,0.9032258014516129,hi i am trying to make a big payment online and it says i'll get a text message from you guys to confirm my identity so i guess i'm standing by whenever you send it i'll be,hi I am trying to make a big payment online and it says I'll get a text message from you guys to confirm my identity so I guess I'm standing by whenever you send it I'll be,10
39,0.7894736842105263,78.95%,21.052631578947366,0.34782608695652173,0.013236141365083534,0.6,0.3333333333333333,0.4285714239795918,i'm trying to use the app and app will not load my account information is keep getting error messages,I'm trying to use the information in an error message,2
40,0.0,0.00%,100.0,1.0,0.0531829589694499,1.0,1.0,0.999999995,show me my latest transactions,show me my latest transactions,12
41,0.0,0.00%,100.0,1.0,0.10573712634405641,1.0,1.0,0.999999995,business loan,business loan,5
42,0.08888888888888889,8.89%,91.11111111111111,0.9534883720930233,0.009999618938743708,0.9142857142857143,0.9142857142857143,0.9142857092857143,hi i'd like to set up a joint account with my partner i'm not seeing the option to do it on the app so i called in to get some help can i do it over the phone with you and give you the information,hi I'd like to set up a joint account with my partner I'm not seeing the option to do it on the app so I called in to get some help can I do it over the phone with you and give you the information,11
43,0.42857142857142855,42.86%,57.14285714285714,0.7272727272727273,0.035926669419512454,0.5714285714285714,0.5714285714285714,0.5714285664285715,five nights at freddy's my car seats,Five Nights at Freddy's my car seats,9
44,0.14285714285714285,14.29%,85.71428571428571,0.9230769230769231,0.039759395481624875,0.8571428571428571,0.8571428571428571,0.8571428521428571,i have a question about direct debit,I have a question about direct debit,8
45,0.1111111111111111,11.11%,88.88888888888889,0.9411764705882353,0.03322997291602712,0.8888888888888888,0.8888888888888888,0.888888883888889,i would like to see my most recent transactions,I would like to see my most recent transactions,12
46,0.13333333333333333,13.33%,86.66666666666667,0.9285714285714286,0.009875375950494867,0.9117647058823529,0.9117647058823529,0.911764700882353,hi i lost my card i'd like to freeze my card softball transactions i don't know where i put it i'm not sure if it was stolen or not so i'd like it to be frozen so that nothing can happen thank you very much,hi I lost my card I'd like to freeze my card softball transactions I don't know where I put it I'm not sure if it was stolen or not so I'd like it to be frozen so that nothing can happen thank you very much,9
47,0.0,0.00%,100.0,1.0,0.0531829589694499,1.0,1.0,0.999999995,he to update my address,he to update my address,1
48,0.125,12.50%,87.5,0.9333333333333333,0.036156345106488484,0.875,0.875,0.874999995,how do i set up a joint account,how do I set up a joint account,11
49,0.125,12.50%,87.5,0.9333333333333333,0.036156345106488484,0.875,0.875,0.874999995,hello i like to change my address please,hello I like to change my address please,1
50,0.0,0.00%,100.0,1.0,0.0531829589694499,1.0,1.0,0.999999995,my card has been declined,my card has been declined,6
51,1.0,100.00%,0.0,0.0,0.0,0.9285714285714286,0.9285714285714286,0.9285714235714286, says i'm trying to make a large payment and i'm going to be getting a text message,says I'm trying to make a large payment and I'm going to be getting a text message,10
52,0.0,0.00%,100.0,1.0,0.04132153726455827,1.0,1.0,0.999999995,explain to me how direct debits work,explain to me how direct debits work,8
53,0.125,12.50%,87.5,0.9333333333333333,0.02149869142656496,0.9285714285714286,0.9285714285714286,0.9285714235714286,can i have an account with my sister i want to set up a joint account,can I have an account with my sister I want to set up a joint account,11
54,0.11764705882352941,11.76%,88.23529411764706,0.9375,0.02058609124459166,0.8823529411764706,0.8823529411764706,0.8823529361764706,hi there i just wanted to know if i'm traveling out of the country with my car,hi there I just wanted to know if I'm traveling out of the country with my car,0
55,0.18181818181818182,18.18%,81.81818181818183,0.9,0.028000638984009313,0.8181818181818182,0.8181818181818182,0.8181818131818183,how much money would i be able to withdraw the atm,how much money would I be able to withdraw the ATM,3
56,0.15384615384615385,15.38%,84.61538461538461,0.9166666666666666,0.024911783388187433,0.9166666666666666,0.9166666666666666,0.9166666616666667,i need to find out if i probably set up a joint account,I need to find out if I probably set up a joint account,11
57,0.2,20.00%,80.0,0.8888888888888888,0.02990697562442442,0.8888888888888888,0.8888888888888888,0.888888883888889,i am calling because i want to pay a bill,I am calling because I want to pay a bill,13
58,0.1,10.00%,90.0,0.9473684210526315,0.03080070288241024,0.9,0.9,0.899999995,deposit money into my account how can i do that,deposit money into my account how can I do that,7
59,0.1,10.00%,90.0,0.9473684210526315,0.03080070288241024,0.9,0.9,0.899999995,is there a limit of how much i can watch,is there a limit of how much I can watch,3
60,0.0,0.00%,100.0,1.0,0.037383719530530525,1.0,1.0,0.999999995,can you please tell me my latest transactions,can you please tell me my latest transactions,12
61,1.0,100.00%,0.0,0.0,0.0,0.8,0.26666666666666666,0.3999999962500001,hi my credit card bill is due and i'd like to make a payment today,karma credit card bill today,13
62,0.0,0.00%,100.0,1.0,0.04132153726455827,1.0,1.0,0.999999995,app will not load on my phone,app will not load on my phone,2
63,0.0,0.00%,100.0,1.0,0.037383719530530525,1.0,1.0,0.999999995,the mobile app keeps crashing on my phone,the mobile app keeps crashing on my phone,2
64,0.14285714285714285,14.29%,85.71428571428571,0.9230769230769231,0.039759395481624875,0.8571428571428571,0.8571428571428571,0.8571428521428571,i want to see freezing my card,I want to see freezing my card,9
65,0.0,0.00%,100.0,1.0,0.04132153726455827,1.0,1.0,0.999999995,high on the app isn't loading information,high on the app isn't loading information,2
66,1.0,100.00%,0.0,0.0,0.0,1.0,0.8888888888888888,0.9411764656055364,no my card isn't working can you help me,my card isn't working can you help me,6
67,0.16666666666666666,16.67%,83.33333333333334,0.9090909090909091,0.04431913247454159,0.8333333333333334,0.8333333333333334,0.8333333283333335,what is my atm withdrawal limit,what is my ATM withdrawal limit,3
68,0.06666666666666667,6.67%,93.33333333333333,0.9655172413793104,0.022931937521669287,0.9333333333333333,0.9333333333333333,0.9333333283333335,hi i would like to get my most recent bank transaction thank you very much,hi I would like to get my most recent bank transaction thank you very much,12
69,0.1111111111111111,11.11%,88.88888888888889,0.9411764705882353,0.03322997291602712,0.8888888888888888,0.8888888888888888,0.888888883888889,how would i go about doing a direct debit,how would I go about doing a direct debit,8
70,1.0,100.00%,0.0,0.0,0.0,0.7142857142857143,0.8333333333333334,0.7692307642603551,i set up a joint account,can I set up a joint account,11
71,0.0,0.00%,100.0,1.0,0.06287167148414677,1.0,1.0,0.999999995,what's my account balance,what's my account balance,4
72,0.05263157894736842,5.26%,94.73684210526315,0.972972972972973,0.011462834670244375,0.967741935483871,0.967741935483871,0.9677419304838711,hey i need to pay a bill my electricity bill is up and i already moved all the money over to my primary checking you can just take it from there to the bill passed eat near me,hey I need to pay a bill my electricity bill is up and I already moved all the money over to my primary checking you can just take it from there to the bill passed eat near me,13
73,0.29411764705882354,29.41%,70.58823529411765,0.8275862068965517,0.01946912305674631,0.7058823529411765,0.7058823529411765,0.7058823479411767,i'm having trouble understandings what a direct debit is you provide some clarity and information for me,I'm having trouble understanding what a direct debit is to provide through Clarity and information for me,8
74,0.16666666666666666,16.67%,83.33333333333334,0.9090909090909091,0.04431913247454159,0.8333333333333334,0.8333333333333334,0.8333333283333335,how can i make a deposit,how can I make a deposit,7
75,0.0,0.00%,100.0,1.0,0.0531829589694499,1.0,1.0,0.999999995,what is my account balance,what is my account balance,4
76,0.7647058823529411,76.47%,23.52941176470588,0.38095238095238093,0.008796169301301292,0.7096774193548387,0.7857142857142857,0.7457627068773341,good morning i'm trying to use my atm debit card as wondering if you could you tell me why i think i have enough money in the account cover the charges,good morning I'm trying to use my ATM debit card and it is coming up I was wondering if you tell me why I have enough money in the account to cover the charges,6
77,0.0,0.00%,100.0,1.0,0.02944119854967607,1.0,1.0,0.999999995,can you tell me what my current account balance is please,can you tell me what my current account balance is please,4
78,0.07142857142857142,7.14%,92.85714285714286,0.9629629629629629,0.024118916967037007,0.9285714285714286,0.9285714285714286,0.9285714235714286,there has been an issue with my card and i would like to breathe,there has been an issue with my card and I would like to breathe,9
79,0.6190476190476191,61.90%,38.095238095238095,0.5517241379310345,0.014241416964011626,0.8947368421052632,0.9444444444444444,0.9189189139225714,can you help me with my debit card declining purchases but i know i have a balance in my account,can you help me with my debit card is declining purchases but I know I have a balance in my account,6
80,0.09090909090909091,9.09%,90.9090909090909,0.9523809523809523,0.028747978728803456,0.9,0.9,0.899999995,how do i confirm a large email with a text message,how do I confirm a large email with a text message,10
81,0.16666666666666666,16.67%,83.33333333333334,0.9090909090909091,0.04431913247454159,0.8333333333333334,0.8333333333333334,0.8333333283333335,how do i change my address,how do I change my address,1
82,0.16666666666666666,16.67%,83.33333333333334,0.9090909090909091,0.04431913247454159,0.8333333333333334,0.8333333333333334,0.8333333283333335,i'd like to freeze my card,I'd like to freeze my card,9
83,0.09090909090909091,9.09%,90.9090909090909,0.9523809523809523,0.028747978728803456,0.9090909090909091,0.9090909090909091,0.9090909040909091,how can my wife and i set up a joint account,how can my wife and I set up a joint account,11
84,0.06666666666666667,6.67%,93.33333333333333,0.9655172413793104,0.010060042346306374,0.9705882352941176,0.9705882352941176,0.9705882302941177,hello i am falling to talk about a new business loan that i want to take out and trying to start a business with my husband and i wanted to know how can you trust that process as far as applying for this business law,hello I am falling to talk about a new business loan that I want to take out and trying to start a business with my husband and I wanted to know how can you trust that process as far as applying for this business law,5
85,0.0,0.00%,100.0,1.0,0.04132153726455827,1.0,1.0,0.999999995,teach me how to pay bill online,teach me how to pay bill online,13
86,0.125,12.50%,87.5,0.9333333333333333,0.036156345106488484,0.875,0.875,0.874999995,i'm calling to inquire about a business loan,I'm calling to inquire about a business loan,5
87,0.14285714285714285,14.29%,85.71428571428571,0.9230769230769231,0.039759395481624875,0.8571428571428571,0.8571428571428571,0.8571428521428571,hi i'm calling about a business loan,hi I'm calling about a business loan,5
88,0.16666666666666666,16.67%,83.33333333333334,0.9090909090909091,0.04431913247454159,0.8333333333333334,0.8333333333333334,0.8333333283333335,i have to pay a bill,I have to pay a bill,13
89,1.0,100.00%,0.0,0.0,0.0,0.8235294117647058,0.8235294117647058,0.8235294067647059, it's like this purchase is going on vacation and they're trying to get out before they go,like this Christmas going on vacation and they're trying to get everything figured out before they go,0
90,0.0,0.00%,100.0,1.0,0.034223003202678036,1.0,1.0,0.999999995,help me make a deposit into my account please,help me make a deposit into my account please,7
91,0.14285714285714285,14.29%,85.71428571428571,0.9230769230769231,0.039759395481624875,0.8571428571428571,0.8571428571428571,0.8571428521428571,i have to pay bills at 2,I have to pay bills at 2,13
92,0.76,76.00%,24.0,0.3870967741935484,0.01113263073485497,0.7142857142857143,0.7142857142857143,0.7142857092857143,i need to withdraw money from an atm is working with the maximum amount of money i can withdraw at one turn is thank you,I need to withdraw money from an ATM off this morning with the maximum amount of money I can withdraw at one time is,3
93,0.0,0.00%,100.0,1.0,0.02944119854967607,1.0,1.0,0.999999995,going on vacation for a few weeks and wanted to ask,going on vacation for a few weeks and wanted to ask,0
94,0.14285714285714285,14.29%,85.71428571428571,0.9230769230769231,0.039759395481624875,0.8571428571428571,0.8571428571428571,0.8571428521428571,i have to pay bill make payment,I have to pay bill make payment,13
95,0.16666666666666666,16.67%,83.33333333333334,0.9090909090909091,0.04431913247454159,0.8333333333333334,0.8333333333333334,0.8333333283333335,i need to make a payment,I need to make a payment,13
96,0.0,0.00%,100.0,1.0,0.034223003202678036,1.0,1.0,0.999999995,my card is continuously being declined and not working,my card is continuously being declined and not working,6
97,0.0,0.00%,100.0,1.0,0.0531829589694499,1.0,1.0,0.999999995,show me my direct debit,show me my direct debit,8
98,0.125,12.50%,87.5,0.9333333333333333,0.036156345106488484,0.875,0.875,0.874999995,i need to pay my credit card bill,I need to pay my credit card bill,13
99,0.15625,15.62%,84.375,0.9152542372881356,0.012667501451315955,0.9259259259259259,0.9259259259259259,0.9259259209259261,i need my card abroad can i pay for things i'm stamps hi yes i'm going on vacation for a few weeks and wanted to ask if i have to do it,I need my card abroad can I pay for things I'm stamps hi yes I'm going on vacation for a few weeks and wanted to ask if I have to do it,0
100,0.125,12.50%,87.5,0.9333333333333333,0.036156345106488484,0.875,0.875,0.874999995,i'd like to apply for a new business,I'd like to apply for a new business,5
101,0.0,0.00%,100.0,1.0,0.0531829589694499,1.0,1.0,0.999999995,show me my account balance,show me my account balance,4
102,0.1111111111111111,11.11%,88.88888888888889,0.9411764705882353,0.03322997291602712,0.8888888888888888,0.8888888888888888,0.888888883888889,i'd like to make a kind of large payment,I'd like to make a kind of large payment,10
103,0.06666666666666667,6.67%,93.33333333333333,0.9655172413793104,0.022931937521669287,0.9285714285714286,0.9285714285714286,0.9285714235714286,i'm trying to pay a large amount for a alone you keep sending me confirmation,I'm trying to pay a large amount for a alone you keep sending me confirmation,10
104,1.0,100.00%,0.0,0.0,0.0,0.75,0.5,0.5999999952,i want to freeze my card,Uncle freeze my card,9
105,0.125,12.50%,87.5,0.9333333333333333,0.036156345106488484,0.875,0.875,0.874999995,i want to pay off my entire balance,I want to pay off my entire balance,13
106,0.1,10.00%,90.0,0.9473684210526315,0.03080070288241024,0.9,0.9,0.899999995,can you tell me how i set up direct debit,can you tell me how I set up direct debit,8
107,0.125,12.50%,87.5,0.9333333333333333,0.02149869142656496,0.9333333333333333,0.9333333333333333,0.9333333283333335,hello i just wanted to know how much money i currently have in my bank account,hello I just wanted to know how much money I currently have in my bank account,4
108,0.15789473684210525,15.79%,84.21052631578947,0.9142857142857143,0.011130223825690146,0.896551724137931,0.896551724137931,0.8965517191379312,hi i'm trying to make a pretty large payment and i'm getting a message that i will get a text message it says it's an sms i don't really know what that isn't what i'm supposed to do,hi I'm trying to make a pretty large payment and I'm getting a message that I will get a text message it says it's an SMS I don't really know what that isn't what I'm supposed to do,10
109,0.5806451612903226,58.06%,41.935483870967744,0.5909090909090909,0.004778407717981385,0.9117647058823529,0.4696969696969697,0.6199999955120001,hi i'm just calling because the after that usually used my bank is not working properly as soon as i open the app it just my account balance at whenever i am able to get on the app it's only in account balance to retire will know sure me that and i am also just being locked out there are some error messages coming up saying that the app is trying i've already tried to restart the app recently on my phone but the app is just a really full view right now,hi I'm just calling because the after that usually used my bank is not working properly as soon as I open the app it just my account balance at whenever I am able to get on the app it's only my account balance wrong. I am,2
110,0.16666666666666666,16.67%,83.33333333333334,0.9090909090909091,0.04431913247454159,0.8333333333333334,0.8333333333333334,0.8333333283333335,i'd like to freeze my card,I'd like to freeze my card,9
111,0.0,0.00%,100.0,1.0,0.0531829589694499,1.0,1.0,0.999999995,the office not working correctly,the office not working correctly,2
112,0.0,0.00%,100.0,1.0,0.04132153726455827,1.0,1.0,0.999999995,is it possible to deposit the money,is it possible to deposit the money,7
