transcription,intent_class
what is my cash withdrawal limit at the atm,3
hello i am falling to talk about a new business loan that i want to take out and trying to start a business with my husband and i wanted to know how can you trust that process as far as applying for this business law,5
add someone to my account please,11
i would like to make a large payment online,10
hello i'm calling you to see if i can use my card abroad currently i'm in japan and i don't know if i'm able to use my card processing in some stores,0
hi i'm trying to use your app online it doesn't mean service now i can't get to my account i can't see my balance can you help me with this please,2
i would like to talk about a business loan,5
i'd like to place a freeze on my card,9
how do i deposit money into my account,7
hi i was wondering if there was a way that you could freeze my card for me i need to stop all transaction to my account right now,9
show my latest transactions,12
i'd like to make a kind of large payment,10
i am calling because i want to pay a bill,13
i'd like to deposit money into my account,7
i'd like to pay a bail,13
freeze my card,9
i was wanting to change my address please,1
how do i set up a direct debit,8
make a bill payment,13
new loan,5
i just received my new card when i'm about to go overseas on vacation and i want to know if i'm going to have any trouble using it there,0
i'm trying to make a large payment to my account i'm receiving a text message,10
i'd like to pay my electricity bill,13
hello i'm having a problem with my with the app it won't load my account,2
are there another new problem with the app not loading properly,2
i see this thing called direct debits i don't know exactly what those are can you tell me about them,8
could you please tell me what the maximum amount of money i can withdraw from a atm in one day would be,3
cuz i want to see my latest transactions on my account can you please show me them this is yes yes yes i would do recognize that,12
question but one of my recent transactions,12
i'm trying to make a large payment via my bank account and the bank says they're going to send me a confirmation code via sms i'm going to assume that it's for,10
let me know about all my recent transactions,12
calling in regards to a question that i have for a new loan,5
hi i'm calling about direct debit can you tell me what those are exactly and how how they are used,8
freeze my card please,9
see my latest transactions,12
i'd like to change the address on my bank account,1
is my car because it doesn't work,6
how do i change my address,1
hi i've lost my card and so i think i might know where it is but could you freeze it for right now i don't want any transactions to happen on it until i can find it,9
see i'm calling to see why my debit card was climbing i tried to pay for groceries and pick up the climbing at red like four times and up having to use a different debit card is there a problem with my balance at the app isn't showing or is it like is do i need a new card is it what's the reason my payment declined,6
i have a $100 check and i was wondering how i can deposit that into my account,7
i'm making a large purchase and i'm trying to use the confirmation code that i received through text message,10
why was my payment declined,6
show me my direct debit,8
i want to make a large payment and i need a confirmation code,10
hi i'm calling today about my direct debit can you show me where i can look at my direct debit thank you,8
hello i'm about to travel abroad and i was just wondering if my card will work where i'm traveling to,0
how do i transfer money to a different account,7
i want to make a large payment online but it says i need to get a text message i'm not sure what i need to do,10
card not working,6
i have to pay bills at 2,13
stop is not working properly or at all i can't access anything,2
hello this is robert i have two transactions on my account which i'm not i don't recognize the last five or six transactions in the last 72 hours,12
how do i use the sms code sent for a large payment,10
i like to know how to send a large payment can go through after i use,10
hi i would like to know whether or not my credit card will work abroad on traveling abroad and want to know if i can use it,0
i'd like to freeze my card,9
how do i deposit money into my account,7
i wanted to change my address,1
love you to use his card anywhere if i'm in spain and portugal,0
hello i would like to see my latest transactions,12
please freeze all transactions on my card,9
hello i am called because i want to ask about using my card in nigeria i'll be going there in about 2 weeks and i just wanted to call to see if i needed anything to my account is there anything i need to do before using gift card in nigeria thank you,0
hey i suspect that there's been some fraud with my credit card so i would like to put a freeze on my card so that there can be no more used to it,9
keybank app is not properly working,2
hi i'm making a rather large payment and it says i'm going to get a text message i don't know what the payment codes that i get are supposed to do and you help tell me what exactly is going on here thank you,10
is there a limit of how much i can watch,3
change my dress,1
hi i'm trying to pay my bill using my card,13
i have to pay a bill,13
i'm getting a text message about a payment i'm trying to make online please explain,10
hello i like to change my address please,1
my card isn't working,6
i'm trying to make a large payment online and you're supposed to be sending me a confirmation code via sms,10
can you provide me more information about direct debit,8
i want to stop all transactions this card,9
hello i'm calling about my business loan i would like to talk about my business phone and i have a few questions i need answered,5
hi i'd like to withdraw some money using my card from atm do i have a limit on how much money i can withdraw and if so can i get that changed,3
trying to figure out why my payment was declined,6
why was my card declined,6
hello yes i'm calling in regards to my credit card bill at a little bit early if i could that would be great thank you,13
i'd like to deposit money into my account,7
i was trying to use my card today and the card is not working is there a problem that i have with it could you tell me what's going on why are my payments didn't go through,6
hi i lost my card i'd like to freeze my card softball transactions i don't know where i put it i'm not sure if it was stolen or not so i'd like it to be frozen so that nothing can happen thank you very much,9
i'd like to make a deposit,7
i was wondering if my current balance is on my account,4
high on the app isn't loading information,2
i'm wondering if i could find out what my account balance is right now on my checking and savings thank you,4
what is the most amount of money i can withdraw,3
say hello i have to make a payment on my bill can you tell me how much i owe and,13
i just moved and i'd like to change my address,1
the office not working correctly,2
i'm going to speak volumes about how i actually go about putting money into my account is transferred to somehow wells fargo money order,7
hey some dude got a hold of my car and i want fries all transactions on that,9
hi i was trying to set up a joint account is there a somewhere on the app that i can do that or do i have to do that through you,11
hello i was just calling to see if i can make it a joint account with my wife thank you,11
i'm on your ass and my husband and i are trying to set up a joint account i can see where i set up an account by myself but i'm not sure where to go to set up a joint account can you help me with this please thank you,11
i'm trying to use your app to access health and fyi login very weird error message it says cannot connect to server and i'm just wondering if you had any website issues going on,2
honey i like to freeze my card,9
i'm trying to say something is my car doesn't seem to work whenever i called do it it doesn't actually work,6
a large amount and i keep getting these text messages,10
i would like to change my address,1
hello i'm going to cuz i have a problem with my car yeah it's declining my time until i don't understand why,6
i would like to make a payment,13
oh yeah i was wondering if you guys could help me find my account balance,4
i want to change my address,1
what are my options to deposit money into my account,7
i'd like to see my direct debit,8
how to deposit money,7
your mobile app isn't working,2
deposit money into my account today how do i transfer my account,7
i would like to set up a joint account how would i go about doing that,11
hey i bought something online but i payment was declined you help me with my card,6
business loan,5
yes hello i'm calling because my mobile app doesn't work,2
i'm trying to make a large payment online and it says loc confirmation through text,10
hello currently in my face cam and i wanted to know what's the max amount of money i can withdraw,3
hi yeah i was just looking at my account on the android app for $1325 which i don't recognize,12
hi hello i'm trying to make a large payment and i just need to know what to do if you get a text message correct a confirmation celebrity for,10
good night i was wondering if you could tell me what my maximum atm withdrawal limit would be on this account,3
why does my card keep getting declined,6
can you help me set up a joint bank account,11
what is my atm withdrawal limit,3
i have some questions about a business loan,5
hi i have a bill to pay,13
he to update my address,1
i seem to be having trouble with using my card,6
hi i just moved and i need to change my address on file,1
hi good afternoon can you help me with my card i'm having trouble i'm here at 9 to use my card but it won't work it will not make a payment here tell me what's wrong with this please,6
is the app not working i can't access my account,2
i have to pay bill make payment,13
hi i'm going on vacation in a couple of weeks and i just want to know if there's anything i need to do for my card to make sure it doesn't get declined while i'm abroad,0
change my address,1
show me my account balance,4
hi i'm trying to make a large payment online and isn't getting us i don't know what it is and i don't know what they're supposed to do can you help me please,10
hello i just wanted to know how much money i currently have in my bank account,4
hi i was wondering how i would set up a joint account with my partner,11
i'm trying to make a large payment and it says it's going to send a confirmation code via sms i don't know how it works can you explain it to me,10
hello i am just wondering what the maximum amount i can withdraw from the atm is,3
i would like to see my direct debit,8
i'm hoping you can help me i can't access my account it just says that the app is being serviced,2
hi there i wanted to call to make sure that you got to stop and block my card store,9
how to go about setting up a joint account for my partner and myself,11
hi hello i just need to deposit money into my account please,7
how do i change my address,1
can you tell me what my my maximum amount of money i can withdraw from atm is i want to get the holiday shopping done,3
can you please tell me my latest transactions,12
i'll be traveling abroad and i'd like to know if there's anything i need to do as far as notifying you that i'll be out of the country when i want to use my credit card,0
hi i am trying to make a big payment online and it says i'll get a text message from you guys to confirm my identity so i guess i'm standing by whenever you send it i'll be,10
i need to put a freeze on my card,9
hello i just made a large payment online and it told me that i lose you receive an sms message but i haven't received it yet you know what the problem is,10
i have a question about an existing loan,5
i'm going to be needing someone to stop my card right now can they freeze it for me please,9
can you tell me what my current account balance is,4
five nights at freddy's my car seats,9
good morning single lost my atm card like a debit card i need to put a freezer,9
i want to obtain a business loan,5
i need to find out if i probably set up a joint account,11
what were my last five direct debit,8
direct debit,8
what is my checking account balance,4
work is sending me overseas you are i was wondering make sure my card will work overseas,0
how do i set up a joint account,11
i'm having some fun and i'm wondering if you are able to freeze it,9
i was wondering if i was able to set up a joint account through the app,11
hi i would like to get my most recent bank transaction thank you very much,12
yeah i know i just wanted to ask you a quick question i'm trying to access the app for for your bank and it's not loading properly i can't stand in curtailing it says please try again in a few minutes,2
i would like to apply for a new business loan please,5
let's change my address in your system,1
trying to make a high price payment and i'm getting these texts,10
hello i just have a quick question i was wondering what your maximum withdrawal rate is per day for your atm services,3
show me my account balance please,4
yeah i'm having trouble with my card keeps getting declined,6
i'd like to cancel a direct debit,8
i would like to change my address what is the fossil situation thank you,1
my transactions aren't loading,2
hi dan conchas i need to register my new address with you guys so i wanted to change my address on bank account,1
good morning i am going to be taking a trip to germany shortly and wanted to know whether my bank card will work with,0
i'd like some information on getting a new or existing loan,5
how much money is my daily maximum amount,3
hello i would like to make a loan for,5
i want to deposit some money but i want to use cash how would i go about doing it,7
oh yes good afternoon i need some help i'm trash deposit some money into my account and how can i do that where can i make a deposit or how can i change the money to my account,7
hi there i'm working about a business loan i would like to take a new one out,5
do i need to do anything for my card to work when i'm abroad,0
do i have a couple questions regarding direct debits and i'd like to know what direct debits are,8
hi i was wondering what the maximum atm withdrawal limit,3
my card isn't working can you help me,6
can i make a deposit,7
if my app is not loading and i cannot access my account,2
please stop all transactions on my card,9
show me my current countdown,4
good morning yes i'm moving and quick and i need to change my address of record,1
hi i'm trying to make a large payment online and i got this text message with a confirmation code i just wasn't sure what that was for,10
app will not load on my phone,2
hello i need to deposit money into my account,7
yes i'm going to europe in like a month i was wondering if my card would work over there as well as here as soon as head of time to make sure that work,0
how much money can i take out at the atm,3
hi i want to make a payment so i can pay this bill,13
show me my account balance,4
show me my recent transactions,12
henry county set up a joint account with my wife and where are they at,11
hi i just got my new card in the mail and for some reason i'm not able to use it at the store he helped me understand why my payments being declined while the car is not working,6
show me my latest transactions,12
please show me my account balance please,4
says i'm trying to make a large payment and i'm going to be getting a text message,10
hi i want you to tell me my account balance until i'm just see it and i need to be able to reconcile a my account,4
hello i'm calling for technical difficulties i cannot access my bank account and i was wondering what the problem is thank you,2
yes i'd like to set up a joint account i'm allowed to anyone,11
is it a new card and banking card and the cards not working right now so i need some help trying to figure out what's going on with the car,6
i would like to make a large bank transfer,10
how i can deposit some money into my account,7
please show me my last five transactions,12
yeah i know i want to pay bill i have a particular payment i need to make my credit card is due so i'm to pay that bill now,13
please show me to my direct debit,8
i would like to make a direct deposit,8
do i need to change my address,1
i was wanting to set up a joint account with my spouse and i was wondering do we each get separate card debit card and separate way of knowing who is accessing the thank you,11
sister card work abroad,0
hi and thank to see all my recent transactions please,12
i couldn't withdraw money from an atm for murdering what the max amount i can take out from atm,3
hi i'm just calling because i would like to immediately leave my car my card i would like it to just be cancelled really because i broke my car in the womb,9
sampling about a preexisting a business loan that i have with you guys let's have some questions about it,5
my bank card hasn't worked at all,6
can you give me information regarding a business loan,5
slow on my card doesn't work i'm able to withdraw anything my account,6
i want to change my address,1
use the app and it is literally not working it's not showing my transactions for sunday i'm trying to get you a bill and also check the status of a text that needs to be cleared and the app keeps closing it keeps crashing and it's not showing anything on my end,2
how do i transfer money to the account or where do i deposit money,7
my payment is being declined,6
show me my current account balance,4
i'm using the bank can you help me transfer money into my account thank you,7
hi i was wondering if there's any way to increase my withdrawal limit what's the maximum amount of money that i can withdraw from the atm,3
how do i go about setting up a joint account with my partner and he's available on the app,11
brayon i recently and i just want to know if it's almost out of work i'm going north and going to be in different countries in different countries one if it's a different word,0
how can i deposit money into my account,7
i would like to stop all transactions on my card,9
i need to withdraw money from an atm off this morning with the maximum amount of money i can withdraw at one time is,3
i'm trying to use the information in an error message,2
ohio can you show me all of my latest transactions place everything that i've done in the last week,12
hi i need to pay kind of a big amount of money,10
i tried to make a payment with my card and the card won't go through,6
hello i'm going to see if i would want to give me direct debit to my account,8
i'm going on vacation for a few weeks,0
uncle freeze my card,9
hi i'd like to pay the bills could you please help me with this,13
hi i was looking at my recent transactions and i saw a bunch on the apps that i didn't recognize i didn't make i would like the account to be frozen please and if i could get,12
i'd like to make a payment on my credit card account,13
i would like to deposit money what's the best way to accomplish that,7
how do i set up direct debit,8
i would like to change my address,1
how do i deposit money into my account,7
i want to pay off my entire balance,13
i would like to set up a joint account can i do that in the app,11
i would like to know the amount in my current account,4
pay my credit card bill,13
what is the maximum amount of cash that i can withdraw,3
hey i want to deposit some money into my account i was just wondering how i can transfer that into there,7
i'd like to pay my bill,13
